g6,n,edges,alpha,theta,gap,ratio,status
U`GOXGaCGQaOB???K`lCecIpHTAcQCWa@@e@_X__,22,65,6,8.2007932800,2.2007932800,1.3667988800,Solved
U@???CDOaAOE`SI@apGpoHbBE@QpCTQ`@\C?ii??,22,64,6,8.2003321476,2.2003321476,1.3667220246,Solved
UK??G??A_WOFOqGUASGhcIPKrgAyGETABDO_jG_?,22,64,6,8.1999454253,2.1999454253,1.3666575709,Solved
U@???D@`ICp@EIH@ag`QODhCiOeCBeICHXP?jg??,22,64,6,8.1997482417,2.1997482417,1.3666247070,Solved
U@???CDOaAObE@IKApHKSJSB?amIECq_`ic?ei??,22,64,6,8.1990339287,2.1990339287,1.3665056548,Solved
U@???D@`KDGQaOEHA`pGUIR?iOeIAIkCPXOOjg??,22,64,6,8.1987637249,2.1987637249,1.3664606208,Solved
U???OGhDgoC`KoN?GJKDIaD`CiAa?tC@NXC?xa??,22,65,6,8.1984699545,2.1984699545,1.3664116591,Solved
U@???CDOaAOE`SI@apGwoHbBA`QpCTQ`@\C?ii??,22,64,6,8.1981831389,2.1981831389,1.3663638565,Solved
U@???E?OQDObHGEEdH?l`Ih?\_ECDMIAPXE?jc??,22,64,6,8.1980860892,2.1980860892,1.3663476815,Solved
U@???D@_kPOGOaDGdAhIcFD_eKEQAIiP@YCOjg??,22,64,6,8.1979146387,2.1979146387,1.3663191064,Solved
U@???CDOaAOFE@IKApHKSJSB?amIECq_`mC?ei??,22,64,6,8.1969957052,2.1969957052,1.3661659509,Solved
U`?IC?OC@?cCaDQIOaiHSIoKVBAQgCLOCZK?H{??,22,64,6,8.1959135176,2.1959135176,1.3659855863,Solved
U???OGOGIGOROwQXPJCWcKQEgg@wK@kB@ROCpgA?,22,64,6,8.1952710253,2.1952710253,1.3658785042,Solved
U@Ch@?CCGQ?OTPgJObcQgSiDJ_b?WAKaAIQAcW?o,22,65,6,8.1950746743,2.1950746743,1.3658457791,Solved
U?KoG_`A`E?iAgCKQFDEAPS`IcC?QY?LfKH?{@_?,22,65,6,8.1936512614,2.1936512614,1.3656085436,Solved
U?Kp?O_CGI?O[BbHSIcOwPwDQgaWGACqABQAcW?o,22,65,6,8.1930821901,2.1930821901,1.3655136983,Solved
U?Kp?OOGGI?O[BaJOic_wPwDIgaWGAcaABQAgW?o,22,65,6,8.1927126520,2.1927126520,1.3654521087,Solved
UB???CCAGYBoG@OegiQTCJ_AOYKrAEBGQag_hSC?,22,64,6,8.1926606639,2.1926606639,1.3654434440,Solved
