g6,edges,alpha,theta,gap,ratio,theta_ub,status
M?AA@BOR@o@{kcN_?,27,5,5.9400082814,0.9400082814,1.1880016563,6.00802502,Solved
M?AADBOJ?sAYJgy@?,27,5,5.9399515508,0.9399515508,1.1879903102,6.01556322,Solved
M?AAD@oT?s\?Foak?,27,5,5.9399484987,0.9399484987,1.1879896997,6.03403445,Solved
M?AA@agwAgBOBoaq?,25,5,5.9399445793,0.9399445793,1.1879889159,6.00404065,Solved
M?AAD?w[AWUODoBs?,26,5,5.9399444898,0.9399444898,1.1879888980,6.02402961,Solved
M?AAD@WKaW}?BoN_?,27,5,5.9399422467,0.9399422467,1.1879884493,6.03822089,Solved
M?AAD?WHM_@wN_ec?,26,5,5.9399360832,0.9399360832,1.1879872166,6.00316283,Solved
M?AA@BOBdoUOFORP?,26,5,5.9399339913,0.9399339913,1.1879867983,6.04053809,Solved
M?AAD?oq?kHcN?VO?,25,5,5.9399250058,0.9399250058,1.1879850012,6.02825867,Solved
M?AA@aHY?kKci_e`?,26,5,5.9399240265,0.9399240265,1.1879848053,6.00309872,Solved
M?AA@b_DdoFOqOBw?,27,5,5.9399218602,0.9399218602,1.1879843720,6.04017730,Solved
M?AA@AW[@kF_asuO?,27,5,5.9398986797,0.9398986797,1.1879797359,6.00817411,Solved
M?AAD?wLEO@oSOac_,24,5,5.9398952104,0.9398952104,1.1879790421,6.00544746,Solved
M?AAD@oR?\TO}?SR?,28,5,5.9398861109,0.9398861109,1.1879772222,6.01201357,Solved
M?AA@AW[?uEoJ_sO_,26,5,5.9398710182,0.9398710182,1.1879742036,6.01649510,Solved
M?AADBOK`wDoUOBS?,26,5,5.9398590339,0.9398590339,1.1879718068,6.01587666,Solved
M?AAD?oq?mJGi_TO_,26,5,5.9398301338,0.9398301338,1.1879660268,6.00120369,Solved
M?AAD@WKaQm_Bo{?_,27,5,5.9398239823,0.9398239823,1.1879647965,6.00920473,Solved
M?ABA_gkAW@YTGca?,25,5,5.9397812397,0.9397812397,1.1879562479,6.00197935,Solved
M?AE@b_DeQ@k]?M_?,27,5,5.9397731621,0.9397731621,1.1879546324,6.03993697,Solved
M?AA@BOFbgEoAweo?,27,5,5.9397666224,0.9397666224,1.1879533245,6.01511838,Solved
M?AAD?WXF_UOAsVO?,26,5,5.9397616891,0.9397616891,1.1879523378,6.01540867,Solved
M?AA@aHw?kDo]?Bs?,26,5,5.9397600853,0.9397600853,1.1879520171,6.00963557,Solved
M?AA@BOLBoBWaoBw?,26,5,5.9397575410,0.9397575410,1.1879515082,6.01478716,Solved
M?AA@BOR@cBgm?Bw?,25,5,5.9397575385,0.9397575385,1.1879515077,6.01436636,Solved
M?AAF@Sa_wF?giFo?,27,5,5.9397556526,0.9397556526,1.1879511305,6.02208190,Solved
M?AA@aHwCsFOLgXI?,28,5,5.9397372933,0.9397372933,1.1879474587,6.02274016,Solved
M?AAD?oqDSAqUOFo?,26,5,5.9397109902,0.9397109902,1.1879421980,6.01336222,Solved
M?AA@AWT@cXGN_as?,26,5,5.9396994008,0.9396994008,1.1879398802,6.01811807,Solved
M?AA@BOi?ZXGM_Jg?,26,5,5.9396847583,0.9396847583,1.1879369517,6.00822928,Solved
M?AA@?Ws@[HgBsk`?,26,5,5.9396797722,0.9396797722,1.1879359544,6.00407369,Solved
