g6,edges,alpha,theta,gap,ratio,theta_ub,status
L?AAD?oq?eBoZ?,20,5,5.6671485463,0.6671485463,1.1334297093,5.80878224,Solved
L?AAD?sY?eBo}?,22,5,5.6671235677,0.6671235677,1.1334247135,5.81905302,Solved
L?AAD@oB`wZ?Fo,23,5,5.6671098000,0.6671098000,1.1334219600,5.81188960,Solved
L?AADb_B_xFO}?,24,5,5.6671097218,0.6671097218,1.1334219444,5.82916607,Solved
L?AA@r_D_x\?i_,23,5,5.6671065068,0.6671065068,1.1334213014,5.82356306,Solved
L?AADb_I_kB_qA,21,5,5.6671029601,0.6671029601,1.1334205920,5.82097542,Solved
L?AAD?wTDSJGN_,23,5,5.6670974512,0.6670974512,1.1334194902,5.80804261,Solved
L?AADb_E_\Z?N_,24,5,5.6670893138,0.6670893138,1.1334178628,5.82661091,Solved
L?AEBAoFFOAwN_,24,5,5.6670825136,0.6670825136,1.1334165027,5.82815011,Solved
L?AA@aH[@KZ?^?,22,5,5.6670817874,0.6670817874,1.1334163575,5.81071592,Solved
L?AEB?wFOm\?^?,25,5,5.6670646311,0.6670646311,1.1334129262,5.84145169,Solved
L?AADb_K_w@s}?,23,5,5.6670506743,0.6670506743,1.1334101349,5.82793612,Solved
L?AADBOY@gBoDo,21,5,5.6670395902,0.6670395902,1.1334079180,5.81780061,Solved
L?`@Cb_HQcBOBg,21,5,5.6670193986,0.6670193986,1.1334038797,5.83347566,Solved
L?AADAoXAwBgAw,22,5,5.6670089215,0.6670089215,1.1334017843,5.81546228,Solved
L?AA@ags?sDoBs,22,5,5.6669767574,0.6669767574,1.1333953515,5.81470696,Solved
L?AADBOM?[M_Fo,22,5,5.6669512201,0.6669512201,1.1333902440,5.80867006,Solved
L?AAD@WXF_@wFO,22,5,5.6669188170,0.6669188170,1.1333837634,5.81723866,Solved
L?AE@b_LBo@wF_,23,5,5.6669186565,0.6669186565,1.1333837313,5.83527059,Solved
L?AEB?s]Do@wF_,24,5,5.6669130761,0.6669130761,1.1333826152,5.80126444,Solved
L?AA@ags?]FOJ_,22,5,5.6668973896,0.6668973896,1.1333794779,5.82762312,Solved
L?AADAoY?wJGBw,22,5,5.6668929318,0.6668929318,1.1333785864,5.80377554,Solved
L?AAD?wT@[TOVO,23,5,5.6668774445,0.6668774445,1.1333754889,5.81831076,Solved
L?AA@ags@[FOBs,23,5,5.6668714607,0.6668714607,1.1333742921,5.81925005,Solved
L?AAD?wTDSHgN_,23,5,5.6668400789,0.6668400789,1.1333680158,5.82203837,Solved
L?AADb_I_kB_iA,21,5,5.6668327760,0.6668327760,1.1333665552,5.81711733,Solved
L?AB?qQU@IL_m?,22,5,5.6668282550,0.6668282550,1.1333656510,5.83572784,Solved
L?AE@b_]Aw@wF_,24,5,5.6668169915,0.6668169915,1.1333633983,5.83304327,Solved
L?AAD?s[?]Bo}?,23,5,5.6668142983,0.6668142983,1.1333628597,5.81561289,Solved
L?AA@r_D_x\?m_,24,5,5.6668106621,0.6668106621,1.1333621324,5.81569877,Solved
L?AAD@oR?VM_Fo,23,5,5.6667333843,0.6667333843,1.1333466769,5.80663425,Solved
L?AADb_E_\\?N_,24,5,5.6666928396,0.6666928396,1.1333385679,5.84131897,Solved
L?AE@b_]AwBoBw,25,5,5.6666699848,0.6666699848,1.1333339970,5.83258982,Solved
L?AADAoFBoJGBw,23,5,5.6666345185,0.6666345185,1.1333269037,5.81463988,Solved
L?AB?qQU@I\?Z?,22,5,5.6666185966,0.6666185966,1.1333237193,5.83369395,Solved
L?AADAoFBo@{VO,24,5,5.6666104238,0.6666104238,1.1333220848,5.80811526,Solved
L?AAFBOM?[M_Fo,23,5,5.6665059089,0.6665059089,1.1333011818,5.81043731,Solved
L?AAD?oq?eBo^?,21,5,5.6664836795,0.6664836795,1.1332967359,5.80355029,Solved
L?AA@aH[@LZ?^?,23,5,5.6664230782,0.6664230782,1.1332846156,5.80448191,Solved
L?AAFBOM@K@s^?,23,5,5.6664113039,0.6664113039,1.1332822608,5.82682773,Solved
L?AE@b_LBoBoBw,24,5,5.6664096228,0.6664096228,1.1332819246,5.83744159,Solved
L?AADb_I_kB_yA,22,5,5.6664067261,0.6664067261,1.1332813452,5.82070325,Solved
L?AA@aHiAgL_Ck,21,5,5.6663913397,0.6663913397,1.1332782679,5.81638462,Solved
L?`@CbOM@W?{Os,22,5,5.6663905572,0.6663905572,1.1332781114,5.82553002,Solved
L?AADbGY?wEoDg,22,5,5.6663857811,0.6663857811,1.1332771562,5.84777271,Solved
L?AE@b_U?]F_F_,23,5,5.6663642088,0.6663642088,1.1332728418,5.84165166,Solved
L?AEB?c{Aw@wN_,24,5,5.6663384744,0.6663384744,1.1332676949,5.80638169,Solved
L?AAD?sY?UBo[A,21,5,5.6663311089,0.6663311089,1.1332662218,5.82119668,Solved
L?AAD@oB`w^?Fo,24,5,5.6663264634,0.6663264634,1.1332652927,5.81569432,Solved
L?AADb_B`sBs}?,25,5,5.6663094657,0.6663094657,1.1332618931,5.83331354,Solved
L?AB?qQU@IL_}?,23,5,5.6662400328,0.6662400328,1.1332480066,5.82853219,Solved
L?AEF@oM?{N_Bw,26,5,5.6662197677,0.6662197677,1.1332439535,5.84776647,Solved
L?AB?qQU@WCky?,22,5,5.6662184912,0.6662184912,1.1332436982,5.83396048,Solved
L?AEB?WXF_@wN_,23,5,5.6662095926,0.6662095926,1.1332419185,5.80178143,Solved
L?AADbGH`wEouC,24,5,5.6662065607,0.6662065607,1.1332413121,5.82784023,Solved
L?`@CbOM@W?{OU,22,5,5.6662057238,0.6662057238,1.1332411448,5.82281090,Solved
L?AA@r_D_\\?^?,24,5,5.6661826739,0.6661826739,1.1332365348,5.83419631,Solved
L?AADbGJEoEoHg,23,5,5.6661795934,0.6661795934,1.1332359187,5.84530542,Solved
L?AB?qQTBOCku?,22,5,5.6661741734,0.6661741734,1.1332348347,5.84416585,Solved
L?`@CbOM@W?{Ou,23,5,5.6660986616,0.6660986616,1.1332197323,5.82037937,Solved
L?AE@b_U?{F_Bw,24,5,5.6660909504,0.6660909504,1.1332181901,5.83729769,Solved
L?AADBOY?w@wN_,22,5,5.6660671599,0.6660671599,1.1332134320,5.82525612,Solved
L?AADb_B_tF_\?,23,5,5.6660613855,0.6660613855,1.1332122771,5.80846807,Solved
L?AAD?oU?VM_Fo,22,5,5.6659754360,0.6659754360,1.1331950872,5.81679828,Solved
L?ABAaQJ?Z]?\?,23,5,5.6659484855,0.6659484855,1.1331896971,5.80527810,Solved
L?AADBOL?]N?FO,22,5,5.6658128483,0.6658128483,1.1331625697,5.82648560,Solved
L?AE@`gFEQN?Di,24,5,5.6656318076,0.6656318076,1.1331263615,5.80454980,Solved
L?AADBOM?[N_Fo,23,5,5.6656245452,0.6656245452,1.1331249090,5.80426015,Solved
L?AAD?wTDSJgN_,24,5,5.6655937772,0.6655937772,1.1331187554,5.81541140,Solved
L?AAD?wTDcHgN_,23,5,5.6655885493,0.6655885493,1.1331177099,5.83286833,Solved
L?AADb_E_\^?N_,25,5,5.6655354273,0.6655354273,1.1331070855,5.83703159,Solved
L?ABA_gaQHv?^?,23,5,5.6655320201,0.6655320201,1.1331064040,5.82464537,Solved
L?AB?qQU@WCkm?,22,5,5.6654991766,0.6654991766,1.1330998353,5.83242089,Solved
L?AB?qQYAJV?\?,23,5,5.6654865270,0.6654865270,1.1330973054,5.84360973,Solved
L?AE@`HH`sZ?]?,23,5,5.6654689238,0.6654689238,1.1330937848,5.80454128,Solved
L?AAD?oXAw@[Fo,22,5,5.6654415922,0.6654415922,1.1330883184,5.80835501,Solved
L?AB?qQYAJF_m?,23,5,5.6654036978,0.6654036978,1.1330807396,5.84324910,Solved
L?AAD@oVAiTOm_,24,5,5.6653761352,0.6653761352,1.1330752270,5.80463001,Solved
L?AADBOFBo@wN_,23,5,5.6653680093,0.6653680093,1.1330736019,5.83691501,Solved
L?AADBOIbo@wN_,23,5,5.6653591390,0.6653591390,1.1330718278,5.80918872,Solved
L?AAF?UyDoF_Fo,25,5,5.6653273084,0.6653273084,1.1330654617,5.84628097,Solved
L?AA@agTCs]?as,23,5,5.6651694895,0.6651694895,1.1330338979,5.80014796,Solved
L?AAFBOM?[N_Fo,24,5,5.6651261884,0.6651261884,1.1330252377,5.81419097,Solved
L?AADbGY?{EoDg,23,5,5.6650945798,0.6650945798,1.1330189160,5.80367414,Solved
L?AADBO]?]F_N_,24,5,5.6650833453,0.6650833453,1.1330166691,5.81177061,Solved
L?AA@r_DfOBs^?,25,5,5.6649315497,0.6649315497,1.1329863099,5.82420539,Solved
L?AADbGY@cBoHg,22,5,5.6647918210,0.6647918210,1.1329583642,5.80618613,Solved
L?AB?qQU@WCk}?,23,5,5.6645684778,0.6645684778,1.1329136956,5.83293401,Solved
L?AEB?WVF_DoBo,23,5,5.6644712458,0.6644712458,1.1328942492,5.81009250,Solved
L?AB?qQYAJV?^?,24,5,5.6644194130,0.6644194130,1.1328838826,5.84421436,Solved
L?AEBAoFDo@[M_,23,5,5.6643886636,0.6643886636,1.1328777327,5.80237286,Solved
L?AEF@oFBoFoBw,26,5,5.6643484956,0.6643484956,1.1328696991,5.84363781,Solved
L?AADb_D`wN?Bw,24,5,5.6643446182,0.6643446182,1.1328689236,5.80420590,Solved
L?ABAaQT@QDcas,23,5,5.6643022261,0.6643022261,1.1328604452,5.80136172,Solved
L?AADBW{?{@wV?,24,5,5.6642941677,0.6642941677,1.1328588335,5.81324393,Solved
L?AA@agqDSBoDk,23,5,5.6642499520,0.6642499520,1.1328499904,5.80617389,Solved
L?AA@aHiAgFON?,21,5,5.6640745610,0.6640745610,1.1328149122,5.81803949,Solved
L?AA@agTCQf_M_,22,5,5.6640293072,0.6640293072,1.1328058614,5.82480859,Solved
L?AB?qQPPXV?y?,23,5,5.6640143552,0.6640143552,1.1328028710,5.81753941,Solved
L?AA@aHX@sRON?,22,5,5.6640027713,0.6640027713,1.1328005543,5.83834459,Solved
L?AA@AOq@WBgBW,19,5,5.6639826321,0.6639826321,1.1327965264,5.80393718,Solved
L?AA@BOL?UQWk_,20,5,5.6639826310,0.6639826310,1.1327965262,5.80067087,Solved
L?AA@AOq@g@kZG,20,5,5.6639826303,0.6639826303,1.1327965261,5.80689662,Solved
L?AA@BOq@gBgDS,20,5,5.6639826301,0.6639826301,1.1327965260,5.80072881,Solved
L?AA@BOq@gIgDs,21,5,5.6639826290,0.6639826290,1.1327965258,5.80776036,Solved
L?AA@BOJ?V\?i_,21,5,5.6639826288,0.6639826288,1.1327965258,5.80182122,Solved
