g6,edges,alpha,theta,gap,ratio,status
L??G`KwOkKIHiD,23,5,5.6672648168,0.6672648168,1.1334529634,Solved
L??G`KwPKKJHic,24,5,5.5762576661,0.5762576661,1.1152515332,Solved
L??G`KwPKSjGh_,23,5,5.5739823817,0.5739823817,1.1147964763,Solved
L??G`KwPKSjGh`,24,5,5.5679939634,0.5679939634,1.1135987927,Solved
L??G`KwQAGOVkE,22,5,5.5993273591,0.5993273591,1.1198654718,Solved
L??G`KwQQgOuia,24,5,5.5426947603,0.5426947603,1.1085389521,Solved
L??G`KwSAKONic,23,5,5.6089418122,0.6089418122,1.1217883624,Solved
L??G`KwSBCOuaU,23,5,5.6635253594,0.6635253594,1.1327050719,Solved
L??G`KwSDCgsaT,23,5,5.6655569967,0.6655569967,1.1331113993,Solved
L??G`Kw_IKiIi_,22,5,5.5562405641,0.5562405641,1.1112481128,Solved
L??G`Kw_IKiIi`,23,5,5.5562366854,0.5562366854,1.1112473371,Solved
L??G`Kw_Q_guia,23,5,5.6288625061,0.6288625061,1.1257725012,Solved
L??G`Kw_iKIIiA,22,5,5.6482380950,0.6482380950,1.1296476190,Solved
L??G`Kw_iKIIiB,23,5,5.6481727399,0.6481727399,1.1296345480,Solved
L??G`Kw`JCiGa`,22,5,5.5381800474,0.5381800474,1.1076360095,Solved
L??G`Kw`b_GMab,23,5,5.5921702358,0.5921702358,1.1184340472,Solved
L??G`KwaQgGuia,24,5,5.6205549763,0.6205549763,1.1241109953,Solved
L??G`KwdASwKx_,24,5,5.4245201800,0.4245201800,1.0849040360,Solved
L??G`LAT@pPMx_,24,5,5.5374731446,0.5374731446,1.1074946289,Solved
L??G`LCUCaDTgk,23,5,5.6183394623,0.6183394623,1.1236678925,Solved
L??G`LEIe_uCqO,23,5,5.5027184709,0.5027184709,1.1005436942,Solved
L??G`LEQ@oOrc[,23,5,5.6718795185,0.6718795185,1.1343759037,Solved
L??G`LEQcauCy?,23,5,5.5729941187,0.5729941187,1.1145988237,Solved
L??G`LEQcbUAy?,23,5,5.6491949014,0.6491949014,1.1298389803,Solved
L??G`LESPPPQdA,22,5,5.5753973577,0.5753973577,1.1150794715,Solved
L??G`LEab_uCqO,23,5,5.4503807801,0.4503807801,1.0900761560,Solved
L??G`LEhAorKy_,25,5,5.5223696361,0.5223696361,1.1044739272,Solved
L??G`LEiAgrKy_,25,5,5.5651881150,0.5651881150,1.1130376230,Solved
L??G`LEocbFAy?,23,5,5.6104327681,0.6104327681,1.1220865536,Solved
L??G`LIUThSq}?,27,5,5.5612301009,0.5612301009,1.1122460202,Solved
L??G`LI[CHrGWb,24,5,5.6084469663,0.6084469663,1.1216893933,Solved
L??G`LIaUgEey_,25,5,5.4958375511,0.4958375511,1.0991675102,Solved
L??G`LXTDKTQ}?,26,5,5.5612300967,0.5612300967,1.1122460193,Solved
L??G`LXdDKLQ}?,26,5,5.5443485440,0.5443485440,1.1088697088,Solved
L??G`M?II`Wo}?,21,5,5.6225000778,0.6225000778,1.1245000156,Solved
L??G`M?kAPgs]G,22,5,5.6530181906,0.6530181906,1.1306036381,Solved
L??G`M?s@Pgs]G,22,5,5.6336598982,0.6336598982,1.1267319796,Solved
L??G`MAQXpY_x_,24,5,5.5070168046,0.5070168046,1.1014033609,Solved
L??G`MAcAPka]G,22,5,5.6687601154,0.6687601154,1.1337520231,Solved
L??G`MAp@OiD]G,22,5,5.6508961845,0.6508961845,1.1301792369,Solved
L??G`MCIa`X?{?,20,5,5.6765393728,0.6765393728,1.1353078746,Solved
L??G`MCaA`lO[K,22,5,5.6861619015,0.6861619015,1.1372323803,Solved
L??G`MCo`OiD]G,22,5,5.6208826406,0.6208826406,1.1241765281,Solved
L??G`MCp`pjKy_,26,5,5.5064751229,0.5064751229,1.1012950246,Solved
L??G`MEQHoGpcT,23,5,5.6514910025,0.6514910025,1.1302982005,Solved
L??G`MEQcamCy?,23,5,5.5030114770,0.5030114770,1.1006022954,Solved
L??G`MESPPgpm@,24,5,5.6027466715,0.6027466715,1.1205493343,Solved
L??G`MESQSDEdB,23,5,5.6292290973,0.6292290973,1.1258458195,Solved
L??G`MEWcajCy?,23,5,5.6088437143,0.6088437143,1.1217687429,Solved
L??G`MEab_mCqO,23,5,5.5767973678,0.5767973678,1.1153594736,Solved
L??G`MG`AokS[K,22,5,5.6938234954,0.6938234954,1.1387646991,Solved
L??G`MHTIoSpy_,25,5,5.5082070451,0.5082070451,1.1016414090,Solved
L??G`MHTKgLPy_,25,5,5.4886620685,0.4886620685,1.0977324137,Solved
L??G`MIOXoy_x_,24,5,5.4302858907,0.4302858907,1.0860571781,Solved
L??G`MIURhSq}?,27,5,5.5443485520,0.5443485520,1.1088697104,Solved
L??G`MSuAqLSha,26,5,5.5843471090,0.5843471090,1.1168694218,Solved
L??G`MSuCqLSXa,26,5,5.5922909215,0.5922909215,1.1184581843,Solved
L??G`MgMALjG`d,25,5,5.5715729228,0.5715729228,1.1143145846,Solved
L??G`NIQSKn@lC,26,5,5.5008735115,0.5008735115,1.1001747023,Solved
L??G`OcOsDI`eK,21,5,5.6680523087,0.6680523087,1.1336104617,Solved
L??G`OcPcEIDeK,21,5,5.6570775093,0.6570775093,1.1314155019,Solved
L??G`OePsMJDmC,25,5,5.5657692335,0.5657692335,1.1131538467,Solved
L??G`OeSQKQLic,23,5,5.6459758424,0.6459758424,1.1291951685,Solved
L??G`OsOy_Oxia,23,5,5.5990482942,0.5990482942,1.1198096588,Solved
L??G`OsO{KIHi_,22,5,5.6468222687,0.6468222687,1.1293644537,Solved
L??G`OsO{KIHi`,23,5,5.6290595278,0.6290595278,1.1258119056,Solved
L??G`OsO{MZ?x_,24,5,5.4983565731,0.4983565731,1.0996713146,Solved
L??G`OsPsMHSm?,23,5,5.6023433971,0.6023433971,1.1204686794,Solved
L??G`OsSAMO]ic,23,5,5.6312793051,0.6312793051,1.1262558610,Solved
L??G`Os_ySGwkB,23,5,5.6164539069,0.6164539069,1.1232907814,Solved
L??G`Os`aalOow,23,5,5.4919900704,0.4919900704,1.0983980141,Solved
L??G`Os`qFQ`Y`,24,5,5.6309514576,0.6309514576,1.1261902915,Solved
L??G`Os`qTGwm@,24,5,5.5695982956,0.5695982956,1.1139196591,Solved
L??G`OsaaMMAow,23,5,5.6366875570,0.6366875570,1.1273375114,Solved
L??G`OscQKlOow,23,5,5.5738625097,0.5738625097,1.1147725019,Solved
L??G`OsdAElOow,23,5,5.5979826561,0.5979826561,1.1195965312,Solved
L??G`P@cMKCq}?,22,5,5.5364731858,0.5364731858,1.1072946372,Solved
L??G`PILKMWw]A,25,5,5.6214866439,0.6214866439,1.1242973288,Solved
L??G`PO_\KGq}?,22,5,5.5757881206,0.5757881206,1.1151576241,Solved
L??G`PPLBKPUpo,24,5,5.5909299038,0.5909299038,1.1181859808,Solved
L??G`PPeDLKqPs,25,5,5.5445252426,0.5445252426,1.1089050485,Solved
L??G`PPhboOtpo,25,5,5.6106253801,0.6106253801,1.1221250760,Solved
L??G`PW\CFsspo,26,5,5.5058904605,0.5058904605,1.1011780921,Solved
L??G`PWheaKo`w,24,5,5.5789287979,0.5789287979,1.1157857596,Solved
L??G`PwSSLsqpo,26,5,5.6091643060,0.6091643060,1.1218328612,Solved
L??G`QBLIMHQkB,24,5,5.6147654367,0.6147654367,1.1229530873,Solved
L??G`QBOpHy_}?,23,5,5.6075923137,0.6075923137,1.1215184627,Solved
L??G`QFQ`gyGx_,24,5,5.4984809936,0.4984809936,1.0996961987,Solved
L??G`QOWiJOw}?,23,5,5.5757395311,0.5757395311,1.1151479062,Solved
L??G`QsOrSQbpo,25,5,5.5966190635,0.5966190635,1.1193238127,Solved
L??G`QsOuSEbpo,25,5,5.6324189437,0.6324189437,1.1264837887,Solved
L??G`ScSIKQLic,23,5,5.6097666401,0.6097666401,1.1219533280,Solved
L??G`SeSKaGpiD,23,5,5.6637458565,0.6637458565,1.1327491713,Solved
L??G`SeSS`GpiC,22,5,5.7101208843,0.7101208843,1.1420241769,Solved
L??G`SeTDSzCtO,26,5,5.5357963519,0.5357963519,1.1071592704,Solved
L??G`SeUCBy_x_,24,5,5.4970850899,0.4970850899,1.0994170180,Solved
L??G`SegAoia_Z,23,5,5.6649903856,0.6649903856,1.1329980771,Solved
L??G`SeuCpKptO,26,5,5.5799804034,0.5799804034,1.1159960807,Solved
L??G`SoPIPOpkC,21,5,5.6740458963,0.6740458963,1.1348091793,Solved
L??G`SoPkHIHi`,23,5,5.6664228803,0.6664228803,1.1332845761,Solved
L??G`SoSQLOsiC,22,5,5.6734944643,0.6734944643,1.1346988929,Solved
L??G`So`ILIIi_,22,5,5.6665529141,0.6665529141,1.1333105828,Solved
L??G`SsOi_Ojia,23,5,5.6022812055,0.6022812055,1.1204562411,Solved
L??G`SsOkGiHi_,22,5,5.6635896843,0.6635896843,1.1327179369,Solved
L??G`SsOkGiHi`,23,5,5.6635536002,0.6635536002,1.1327107200,Solved
L??G`SsOkKIHiC,22,5,5.5668719275,0.5668719275,1.1133743855,Solved
L??G`SsOkKIHiD,23,5,5.5603206639,0.5603206639,1.1120641328,Solved
L??G`SsPSgHTic,24,5,5.6658857538,0.6658857538,1.1331771508,Solved
