g6,alpha,theta_ub
L?AA@AWT@SF_VO,5,5.78772276
L?AA@AWT@SF_eo,5,5.77593028
L?AA@AWT@SF_as,5,5.80300465
L?AA@AWT@SF_sQ,5,5.83317160
L?AA@AWT@SEouO,5,5.74632793
L?AA@AWT@SEoeo,5,5.74029983
L?AA@AWT@SEoaS,5,5.80245507
L?AA@AWT@SEoAs,5,5.77699295
L?AA@AWT@SEoas,5,5.79020461
L?AA@AWT@SEosQ,5,5.76426441
L?AA@AWT@SBouO,5,5.75154787
L?AA@AWT@SBoVO,5,5.77615602
L?AA@AWT@SBoas,5,5.74628830
L?AA@AWT@SBosQ,5,5.78218650
L?AA@AWT@SYG{?,5,5.77544138
L?AA@AWT@SYGy?,5,5.77774901
L?AA@AWT@SYG]?,5,5.81578544
L?AA@AWT@SYG}?,5,5.79284291
L?AA@AWT@SYG^?,5,5.79781935
L?AA@AWT@SYGN_,5,5.80227442
L?AA@AWT@SYGeo,5,5.79158835
L?AA@AWT@SYGAs,5,5.78702130
L?AA@AWT@SYGas,5,5.79447355
L?AA@AWT@SXG]?,5,5.78426286
L?AA@AWT@SXG}?,5,5.75155939
L?AA@AWT@SXG^?,5,5.75940482
L?AA@AWT@SXGL_,5,5.75999125
L?AA@AWT@SXGN_,5,5.74540935
L?AA@AWT@SRG{?,5,5.75561004
L?AA@AWT@SRGy?,5,5.74108261
L?AA@AWT@SRG]?,5,5.79818633
L?AA@AWT@SRG}?,5,5.75988302
L?AA@AWT@SRGN?,5,5.81987927
L?AA@AWT@SRG^?,5,5.77545548
L?AA@AWT@SRGF_,5,5.77710723
L?AA@AWT@SRGN_,5,5.77195027
L?AA@AWT@SJG{?,5,5.76534808
L?AA@AWT@SJG]?,5,5.80042493
L?AA@AWT@SJG}?,5,5.79443823
L?AA@AWT@SJGZ?,5,5.75693383
L?AA@AWT@SJGN?,5,5.80042633
L?AA@AWT@SJG^?,5,5.75726358
L?AA@AWT@SJGF_,5,5.77996143
L?AA@AWT@SJGN_,5,5.75770764
L?AA@AWT@SJGeo,5,5.80752683
L?AA@AWT@SJGas,5,5.77514454
L?AA@AWT@SZG}?,5,5.74419618
L?AA@AWT@SZG^?,5,5.75367797
L?AA@AWT@SZGN_,5,5.74316981
L?AA@AWT@SZGeo,5,5.74729295
L?AA@AWT@SHgy?,5,5.75829979
L?AA@AWT@SHg]?,5,5.79384598
L?AA@AWT@SHg}?,5,5.76689020
L?AA@AWT@SHgN?,5,5.77995946
L?AA@AWT@SHgF_,5,5.76603410
L?AA@AWT@SBg]?,5,5.79473344
L?AA@AWT@SBg}?,5,5.77557981
L?AA@AWT@SBgN?,5,5.78193783
L?AA@AWT@SBgF_,5,5.79344831
L?AA@AWT@SBgN_,5,5.74373232
L?AA@AWT@SBgEo,5,5.81939904
L?AA@AWT@SBgeo,5,5.79661355
L?AA@AWT@SBgFo,5,5.75720598
L?AA@AWT@SJg}?,5,5.77482971
L?AA@AWT@SJgN_,5,5.74308912
L?AA@AWT@SJgeo,5,5.74849246
L?AA@AWT@SQWu?,5,5.74433153
L?AA@AWT@SQWZ?,5,5.75995988
L?AA@AWT@SQW^?,5,5.75182134
L?AA@AWT@SQWF_,5,5.75888057
L?AA@AWT@SQWN_,5,5.75604960
L?AA@AWT@SQWsQ,5,5.75169173
L?AA@AWT@SPWu?,5,5.77839201
L?AA@AWT@SPW}?,5,5.74799010
L?AA@AWT@SPW^?,5,5.77438347
L?AA@AWT@SPWF_,5,5.75451385
L?AA@AWT@SPWN_,5,5.75893769
L?AA@AWT@SPWuO,5,5.75997310
L?AA@AWT@SPWVO,5,5.75476704
L?AA@AWT@SPWsA,5,5.76524756
L?AA@AWT@SPWsQ,5,5.79165576
L?AA@AWT@SBW]?,5,5.74738978
L?AA@AWT@SBWV?,5,5.75395299
L?AA@AWT@SBWN?,5,5.76063209
L?AA@AWT@SBWF_,5,5.75015391
L?AA@AWT@SBWuO,5,5.74442076
L?AA@AWT@SBWVO,5,5.77023298
L?AA@AWT@SBWBo,5,5.74393174
L?AA@AWT@SBWFo,5,5.76095555
L?AA@AWT@SBWsQ,5,5.75715040
L?AA@AWT@SAwF_,5,5.76490488
L?AA@AWT@SAwFo,5,5.74519709
L?AA@AWT@S@wF_,5,5.74018167
L?AA@AWT@SPI}?,5,5.77193598
L?AA@AWT@SPI^?,5,5.75679586
L?AA@AWT@SPIN_,5,5.76160092
L?AA@AWT@SPIL`,5,5.77557509
L?AA@AWT@S@Y}?,5,5.74405382
L?AA@AWT@S@YsQ,5,5.77399661
L?AA@AWT@S@Y{@,5,5.77674449
L?AA@AWT@SPY}?,5,5.74500994
L?AA@AWT@SPY^?,5,5.74659333
L?AA@AWT@SPYN_,5,5.74802985
L?AA@AWT@SPYuO,5,5.74391398
L?AA@AWT@SPYsQ,5,5.77187632
L?AA@AWT@SY@N_,5,5.84393676
L?AA@AWT@SY@As,5,5.76862578
L?AA@AWT@SY@as,5,5.76547783
L?AA@AWT@SQH}?,5,5.77234795
L?AA@AWT@SQH^?,5,5.79077913
L?AA@AWT@SQHN_,5,5.76748327
L?AA@AWT@SQHZ@,5,5.76899200
L?AA@AWT@SYH}?,5,5.77214928
L?AA@AWT@SYH^?,5,5.78772038
L?AA@AWT@SYHN_,5,5.77301447
L?AA@AWT@SYHeo,5,5.75046355
L?AA@AWTDS]?VO,5,5.76219948
L?AA@AWTDS]?as,5,5.78853793
L?AA@AWTDS\?VO,5,5.76984935
L?AA@AWTDSN?sO,5,5.79480564
L?AA@AWTDSN?qO,5,5.77933259
L?AA@AWTDSN?eO,5,5.80297221
L?AA@AWTDSN?uO,5,5.77083914
L?AA@AWTDSN?VO,5,5.79586607
L?AA@AWTDSN?eo,5,5.75964282
L?AA@AWTDSN?as,5,5.81179013
L?AA@AWTDS^?VO,5,5.77188184
L?AA@AWTDSL_sO,5,5.75791176
L?AA@AWTDSJ_eo,5,5.76381205
L?AA@AWTDSJ_as,5,5.75071307
L?AA@AWTDSF_eO,5,5.79626843
L?AA@AWTDSF_uO,5,5.76303065
L?AA@AWTDSF_VO,5,5.77648999
L?AA@AWTDSF_eo,5,5.75037659
L?AA@AWTDSF_as,5,5.79028330
L?AA@AWTDSEoaS,5,5.74821757
L?AA@AWTDSBoFO,5,5.79176088
L?AA@AWTDSBoVO,5,5.75895849
L?AA@AWTDSBoFo,5,5.74733327
L?AA@AWTDSYG}?,5,5.77846054
L?AA@AWTDSYG^?,5,5.76692814
L?AA@AWTDSYGN_,5,5.74297691
L?AA@AWTDSYGeo,5,5.78714528
L?AA@AWTDSYGas,5,5.77071301
L?AA@AWTDSYGJ`,5,5.76075966
L?AA@AWTDSXG}?,5,5.75198165
L?AA@AWTDSRG}?,5,5.76651508
L?AA@AWTDSRG^?,5,5.76604226
L?AA@AWTDSJG{?,5,5.76700314
L?AA@AWTDSJGy?,5,5.78922118
L?AA@AWTDSJG]?,5,5.79968509
L?AA@AWTDSJG}?,5,5.79301164
L?AA@AWTDSJG^?,5,5.76170639
L?AA@AWTDSJGeo,5,5.81159274
L?AA@AWTDSJGas,5,5.77605042
L?AA@AWTDSHg{?,5,5.75841259
L?AA@AWTDSHgy?,5,5.76440241
L?AA@AWTDSHg}?,5,5.76693023
L?AA@AWTDSHgeo,5,5.74896888
L?AA@AWTDSBg}?,5,5.77432635
